Family	atpase	dnapol	majorcapsid	primase	rnapol1	rnapol2	tf2s	vltf3	N
Allomimiviridae	4	5	3	5	4	5	4	5	5
Ascoviridae	5	6	6	5	5	5	5	5	7
Asfarviridae	20	20	20	20	20	20	20	20	20
Hydriviridae	0	1	1	1	1	1	1	1	1
Iridoviridae	52	52	55	52	52	52	47	52	55
Mamonoviridae	2	2	2	2	0	0	2	2	2
Marseilleviridae	4	4	4	4	3	3	4	4	5
Mesomimiviridae	6	6	6	6	6	6	6	6	6
Mimiviridae	20	20	20	20	20	20	20	20	20
Orpheoviridae	0	1	1	1	1	1	1	1	1
Phycodnaviridae	29	30	29	30	1	1	26	29	31
Pithoviridae	0	13	13	13	13	13	13	13	13
Poxviridae	52	54	14	49	53	53	44	2	54
Schizomimiviridae	2	2	2	2	2	2	2	2	2
Yaraviridae	2	0	2	0	0	0	0	0	2
Total genomes	198	216	178	210	181	182	195	162	224
