YP_004322790	Synechococcus phage S-ShM2
YP_009188211	Cyanophage P-TIM40 
YP_009008247	Synechococcus phage ACG-2014h 
YP_195142	Synechococcus phage S-PM2 
YP_004324495	Prochlorococcus phage Syn1 
YP_009142975	Sinorhizobium phage phiM12 
YP_003358893	Deftia phage phiW-14 
YP_009147619	Erwinia phage phiEa2809 
YP_009140190	Salmonella phage Det7 
YP_007237460	Dickeya virus Limestone 
YP_003358645	Shigella phage Ag3 
NP_899609.1	Vibrio phage KVP40 
NP_049787.1	Enterobacteria phage T4 
YP_009102190	Escherichia phage 121Q 
YP_009189482	Sinorhizobium phage phiM9 
YP_007005149	Campylobacter virus CP21 
YP_004324201	Synechococcus phage S-SSM7 
YP_004322275	Synechococcus phage S-SM2 
YP_214367	Prochlorococcus phage P-SSM2 
YP_004508477	Synechococcus phage S-CRM01 
YP_004322545	Prochlorococcus phage P-HM1 
YP_004323491	Prochlorococcus phage P-HM2 
YP_004323954	Synechococcus phage Syn19 
YP_717802	Synechococcus phage syn9 
YP_214669	Prochlorococcus phage P-SSM4 
YP_004323731	Prochlorococcus phage Syn33 
YP_004324955	Prochlorococcus phage P-SSM7 
YP_004323024	Synechococcus phage S-SM1 
YP_004323268	Prochlorococcus phage P-RSM4 
YP_004324729	Synechococcus phage S-SSM5 
